"","year","dipinst","io"
"1",1945,3,3
"2",1946,3,3
"3",1947,3,3
"4",1948,4,4
"5",1949,4,5
"6",1950,4,5
"7",1951,4,6
"8",1952,4,7
"9",1953,5,7
"10",1954,5,7
"11",1955,5,7
"12",1956,6,7
"13",1957,6,7
"14",1958,6,7
"15",1959,6,7
"16",1960,6,7
"17",1961,6,7
"18",1962,6,7
"19",1963,7,8
"20",1964,8,8
"21",1965,8,8
"22",1966,9,8
"23",1967,9,9
"24",1968,10,9
"25",1969,12,11
"26",1970,12,11
"27",1971,12,11
"28",1972,12,11
"29",1973,12,13
"30",1974,12,13
"31",1975,13,14
"32",1976,15,14
"33",1977,15,14
"34",1978,14,14
"35",1979,14,14
"36",1980,14,15
"37",1981,16,16
"38",1982,16,16
"39",1983,17,17
"40",1984,17,17
"41",1985,17,18
"42",1986,17,19
"43",1987,17,19
"44",1988,17,19
"45",1989,18,20
"46",1990,18,20
"47",1991,20,20
"48",1992,22,21
"49",1993,22,21
"50",1994,25,21
"51",1995,26,21
"52",1996,27,21
"53",1997,27,21
"54",1998,27,21
"55",1999,27,21
"56",2000,28,21
"57",2001,29,21
"58",2002,32,21
"59",2003,32,21
"60",2004,32,21
"61",2005,32,21
"62",2006,29,21
"63",2007,30,21
"64",2008,30,21
"65",2009,31,21
"66",2010,32,21
"67",2011,32,21
"68",2012,32,21
"69",2013,32,21
